




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	Client Text Box Input (15)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of cellular catabolic process (GO:0031331)	423	1	.29	+	3.47	2.53E-01	1.00E00
cell adhesion (GO:0007155)	848	2	.58	+	3.46	1.12E-01	1.00E00
regulation of cell growth (GO:0001558)	427	1	.29	+	3.43	2.55E-01	1.00E00
biological adhesion (GO:0022610)	858	2	.59	+	3.42	1.15E-01	1.00E00
positive regulation of protein kinase activity (GO:0045860)	433	1	.30	+	3.39	2.58E-01	1.00E00
response to nitrogen compound (GO:1901698)	869	2	.59	+	3.37	1.17E-01	1.00E00
blood vessel morphogenesis (GO:0048514)	440	1	.30	+	3.33	2.62E-01	1.00E00
response to oxygen-containing compound (GO:1901700)	1322	3	.90	+	3.33	5.76E-02	1.00E00
cellular localization (GO:0051641)	2214	5	1.51	+	3.31	1.31E-02	1.00E00
regulation of catabolic process (GO:0009894)	903	2	.62	+	3.25	1.25E-01	1.00E00
negative regulation of RNA metabolic process (GO:0051253)	1355	3	.92	+	3.25	6.12E-02	1.00E00
reproductive structure development (GO:0048608)	455	1	.31	+	3.22	2.70E-01	1.00E00
protein localization to membrane (GO:0072657)	455	1	.31	+	3.22	2.70E-01	1.00E00
negative regulation of phosphorus metabolic process (GO:0010563)	456	1	.31	+	3.21	2.70E-01	1.00E00
negative regulation of phosphate metabolic process (GO:0045936)	456	1	.31	+	3.21	2.70E-01	1.00E00
reproductive system development (GO:0061458)	459	1	.31	+	3.19	2.72E-01	1.00E00
cellular protein localization (GO:0034613)	1378	3	.94	+	3.19	6.37E-02	1.00E00
regulation of protein localization (GO:0032880)	924	2	.63	+	3.17	1.29E-01	1.00E00
cellular macromolecule localization (GO:0070727)	1388	3	.95	+	3.17	6.48E-02	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	926	2	.63	+	3.17	1.30E-01	1.00E00
cellular process involved in reproduction in multicellular organism (GO:0022412)	466	1	.32	+	3.15	2.75E-01	1.00E00
positive regulation of cellular protein metabolic process (GO:0032270)	1403	3	.96	+	3.13	6.66E-02	1.00E00
organonitrogen compound catabolic process (GO:1901565)	940	2	.64	+	3.12	1.33E-01	1.00E00
regulation of cell migration (GO:0030334)	944	2	.64	+	3.11	1.34E-01	1.00E00
negative regulation of developmental process (GO:0051093)	956	2	.65	+	3.07	1.37E-01	1.00E00
protein ubiquitination (GO:0016567)	483	1	.33	+	3.03	2.84E-01	1.00E00
negative regulation of cellular protein metabolic process (GO:0032269)	971	2	.66	+	3.02	1.40E-01	1.00E00
organelle localization (GO:0051640)	486	1	.33	+	3.02	2.85E-01	1.00E00
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1462	3	1.00	+	3.01	7.35E-02	1.00E00
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1463	3	1.00	+	3.01	7.36E-02	1.00E00
positive regulation of catabolic process (GO:0009896)	491	1	.33	+	2.99	2.88E-01	1.00E00
negative regulation of macromolecule biosynthetic process (GO:0010558)	1478	3	1.01	+	2.98	7.54E-02	1.00E00
positive regulation of protein metabolic process (GO:0051247)	1487	3	1.01	+	2.96	7.65E-02	1.00E00
regulation of cell motility (GO:2000145)	995	2	.68	+	2.95	1.46E-01	1.00E00
adaptive immune response (GO:0002250)	498	1	.34	+	2.94	2.91E-01	1.00E00
ubiquitin-dependent protein catabolic process (GO:0006511)	499	1	.34	+	2.94	2.92E-01	1.00E00
positive regulation of kinase activity (GO:0033674)	505	1	.34	+	2.90	2.95E-01	1.00E00
regulation of developmental process (GO:0050793)	2534	5	1.73	+	2.89	2.27E-02	1.00E00
cell junction organization (GO:0034330)	508	1	.35	+	2.89	2.96E-01	1.00E00
modification-dependent protein catabolic process (GO:0019941)	510	1	.35	+	2.87	2.97E-01	1.00E00
negative regulation of cellular biosynthetic process (GO:0031327)	1535	3	1.05	+	2.86	8.25E-02	1.00E00
epithelial cell differentiation (GO:0030855)	512	1	.35	+	2.86	2.98E-01	1.00E00
microtubule cytoskeleton organization (GO:0000226)	514	1	.35	+	2.85	2.99E-01	1.00E00
modulation of chemical synaptic transmission (GO:0050804)	516	1	.35	+	2.84	3.00E-01	1.00E00
regulation of trans-synaptic signaling (GO:0099177)	517	1	.35	+	2.84	3.01E-01	1.00E00
negative regulation of protein metabolic process (GO:0051248)	1035	2	.71	+	2.83	1.56E-01	1.00E00
negative regulation of intracellular signal transduction (GO:1902532)	519	1	.35	+	2.82	3.02E-01	1.00E00
localization within membrane (GO:0051668)	520	1	.35	+	2.82	3.02E-01	1.00E00
modification-dependent macromolecule catabolic process (GO:0043632)	520	1	.35	+	2.82	3.02E-01	1.00E00
regulation of locomotion (GO:0040012)	1045	2	.71	+	2.81	1.58E-01	1.00E00
positive regulation of protein modification process (GO:0031401)	1048	2	.71	+	2.80	1.59E-01	1.00E00
in utero embryonic development (GO:0001701)	526	1	.36	+	2.79	3.05E-01	1.00E00
negative regulation of biosynthetic process (GO:0009890)	1578	3	1.08	+	2.79	8.81E-02	1.00E00
protein modification by small protein conjugation (GO:0032446)	528	1	.36	+	2.78	3.06E-01	1.00E00
regulation of cellular component movement (GO:0051270)	1081	2	.74	+	2.71	1.67E-01	1.00E00
blood vessel development (GO:0001568)	542	1	.37	+	2.70	3.13E-01	1.00E00
negative regulation of multicellular organismal process (GO:0051241)	1090	2	.74	+	2.69	1.69E-01	1.00E00
regulation of neuron projection development (GO:0010975)	545	1	.37	+	2.69	3.14E-01	1.00E00
regulation of hormone levels (GO:0010817)	549	1	.37	+	2.67	3.16E-01	1.00E00
cell population proliferation (GO:0008283)	550	1	.38	+	2.67	3.17E-01	1.00E00
enzyme linked receptor protein signaling pathway (GO:0007167)	553	1	.38	+	2.65	3.18E-01	1.00E00
protein transport (GO:0015031)	1122	2	.77	+	2.61	1.77E-01	1.00E00
response to hormone (GO:0009725)	571	1	.39	+	2.57	3.26E-01	1.00E00
vasculature development (GO:0001944)	572	1	.39	+	2.56	3.27E-01	1.00E00
cell morphogenesis involved in differentiation (GO:0000904)	579	1	.39	+	2.53	3.30E-01	1.00E00
negative regulation of nitrogen compound metabolic process (GO:0051172)	2317	4	1.58	+	2.53	6.53E-02	1.00E00
proteolysis involved in cellular protein catabolic process (GO:0051603)	580	1	.40	+	2.53	3.31E-01	1.00E00
negative regulation of metabolic process (GO:0009892)	2905	5	1.98	+	2.52	3.85E-02	1.00E00
spermatogenesis (GO:0007283)	586	1	.40	+	2.50	3.34E-01	1.00E00
positive regulation of transferase activity (GO:0051347)	586	1	.40	+	2.50	3.34E-01	1.00E00
positive regulation of organelle organization (GO:0010638)	593	1	.40	+	2.47	3.37E-01	1.00E00
regulation of vesicle-mediated transport (GO:0060627)	600	1	.41	+	2.44	3.40E-01	1.00E00
embryo development (GO:0009790)	1201	2	.82	+	2.44	1.96E-01	1.00E00
cellular protein catabolic process (GO:0044257)	606	1	.41	+	2.42	3.43E-01	1.00E00
cell development (GO:0048468)	1821	3	1.24	+	2.41	1.22E-01	1.00E00
male gamete generation (GO:0048232)	607	1	.41	+	2.41	3.43E-01	1.00E00
establishment of protein localization (GO:0045184)	1220	2	.83	+	2.40	2.01E-01	1.00E00
cellular response to organic substance (GO:0071310)	1833	3	1.25	+	2.40	1.24E-01	1.00E00
negative regulation of signal transduction (GO:0009968)	1229	2	.84	+	2.39	2.04E-01	1.00E00
negative regulation of cellular metabolic process (GO:0031324)	2478	4	1.69	+	2.37	7.99E-02	1.00E00
localization (GO:0051179)	4976	8	3.39	+	2.36	9.39E-03	1.00E00
regulation of transport (GO:0051049)	1880	3	1.28	+	2.34	1.31E-01	1.00E00
protein localization (GO:0008104)	1900	3	1.30	+	2.31	1.35E-01	1.00E00
DNA metabolic process (GO:0006259)	636	1	.43	+	2.30	3.56E-01	1.00E00
response to organic substance (GO:0010033)	2545	4	1.74	+	2.30	8.64E-02	1.00E00
response to lipid (GO:0033993)	639	1	.44	+	2.29	3.58E-01	1.00E00
chromatin organization (GO:0006325)	648	1	.44	+	2.26	3.62E-01	1.00E00
protein modification by small protein conjugation or removal (GO:0070647)	650	1	.44	+	2.26	3.63E-01	1.00E00
protein localization to organelle (GO:0033365)	659	1	.45	+	2.22	3.67E-01	1.00E00
protein catabolic process (GO:0030163)	660	1	.45	+	2.22	3.67E-01	1.00E00
negative regulation of catalytic activity (GO:0043086)	661	1	.45	+	2.22	3.68E-01	1.00E00
regulation of protein kinase activity (GO:0045859)	670	1	.46	+	2.19	3.72E-01	1.00E00
negative regulation of macromolecule metabolic process (GO:0010605)	2683	4	1.83	+	2.19	1.01E-01	1.00E00
negative regulation of cell communication (GO:0010648)	1351	2	.92	+	2.17	2.35E-01	1.00E00
negative regulation of signaling (GO:0023057)	1355	2	.92	+	2.16	2.36E-01	1.00E00
negative regulation of cell differentiation (GO:0045596)	685	1	.47	+	2.14	3.78E-01	1.00E00
cellular component assembly (GO:0022607)	2071	3	1.41	+	2.12	1.62E-01	1.00E00
organelle assembly (GO:0070925)	692	1	.47	+	2.12	3.81E-01	1.00E00
developmental process (GO:0032502)	5576	8	3.80	+	2.10	3.13E-02	1.00E00
behavior (GO:0007610)	697	1	.48	+	2.10	3.84E-01	1.00E00
regulation of growth (GO:0040008)	699	1	.48	+	2.10	3.84E-01	1.00E00
transport (GO:0006810)	3566	5	2.43	+	2.06	8.17E-02	1.00E00
neuron projection development (GO:0031175)	715	1	.49	+	2.05	3.91E-01	1.00E00
positive regulation of developmental process (GO:0051094)	1431	2	.98	+	2.05	2.55E-01	1.00E00
cell differentiation (GO:0030154)	3582	5	2.44	+	2.05	8.30E-02	1.00E00
regulation of localization (GO:0032879)	2870	4	1.96	+	2.04	1.22E-01	1.00E00
regulation of proteolysis (GO:0030162)	723	1	.49	+	2.03	3.95E-01	1.00E00
organic substance catabolic process (GO:1901575)	1453	2	.99	+	2.02	2.61E-01	1.00E00
cellular developmental process (GO:0048869)	3634	5	2.48	+	2.02	8.73E-02	1.00E00
regulation of plasma membrane bounded cell projection organization (GO:0120035)	730	1	.50	+	2.01	3.98E-01	1.00E00
movement of cell or subcellular component (GO:0006928)	1467	2	1.00	+	2.00	2.65E-01	1.00E00
positive regulation of nitrogen compound metabolic process (GO:0051173)	2938	4	2.00	+	2.00	1.30E-01	1.00E00
gamete generation (GO:0007276)	737	1	.50	+	1.99	4.01E-01	1.00E00
nitrogen compound transport (GO:0071705)	1475	2	1.01	+	1.99	2.67E-01	1.00E00
tube morphogenesis (GO:0035239)	738	1	.50	+	1.99	4.01E-01	1.00E00
establishment of localization (GO:0051234)	3730	5	2.54	+	1.96	1.57E-01	1.00E00
regulation of cell projection organization (GO:0031344)	747	1	.51	+	1.96	4.05E-01	1.00E00
negative regulation of cellular component organization (GO:0051129)	748	1	.51	+	1.96	4.05E-01	1.00E00
regulation of cellular catabolic process (GO:0031329)	753	1	.51	+	1.95	4.07E-01	1.00E00
macromolecule localization (GO:0033036)	2261	3	1.54	+	1.94	1.95E-01	1.00E00
anatomical structure morphogenesis (GO:0009653)	2268	3	1.55	+	1.94	1.97E-01	1.00E00
cellular catabolic process (GO:0044248)	1524	2	1.04	+	1.92	2.79E-01	1.00E00
cellular component biogenesis (GO:0044085)	2297	3	1.57	+	1.91	2.02E-01	1.00E00
regulation of kinase activity (GO:0043549)	770	1	.53	+	1.90	4.14E-01	1.00E00
cellular macromolecule catabolic process (GO:0044265)	777	1	.53	+	1.89	4.17E-01	1.00E00
regulation of protein modification process (GO:0031399)	1561	2	1.06	+	1.88	2.89E-01	1.00E00
regulation of cellular protein metabolic process (GO:0032268)	2346	3	1.60	+	1.87	2.11E-01	1.00E00
positive regulation of cellular metabolic process (GO:0031325)	3163	4	2.16	+	1.85	2.56E-01	1.00E00
regulation of cell differentiation (GO:0045595)	1592	2	1.09	+	1.84	2.97E-01	1.00E00
regulation of transcription by RNA polymerase II (GO:0006357)	2398	3	1.64	+	1.83	2.20E-01	1.00E00
negative regulation of cellular process (GO:0048523)	4810	6	3.28	+	1.83	1.13E-01	1.00E00
cellular response to chemical stimulus (GO:0070887)	2409	3	1.64	+	1.83	2.22E-01	1.00E00
positive regulation of protein phosphorylation (GO:0001934)	807	1	.55	+	1.82	4.30E-01	1.00E00
carbohydrate derivative metabolic process (GO:1901135)	808	1	.55	+	1.81	4.30E-01	1.00E00
negative regulation of response to stimulus (GO:0048585)	1623	2	1.11	+	1.81	3.05E-01	1.00E00
chordate embryonic development (GO:0043009)	816	1	.56	+	1.80	4.33E-01	1.00E00
membrane organization (GO:0061024)	820	1	.56	+	1.79	4.35E-01	1.00E00
regulation of cellular component organization (GO:0051128)	2479	3	1.69	+	1.77	2.35E-01	1.00E00
cell-cell signaling (GO:0007267)	830	1	.57	+	1.77	4.39E-01	1.00E00
embryo development ending in birth or egg hatching (GO:0009792)	832	1	.57	+	1.76	4.40E-01	1.00E00
positive regulation of macromolecule metabolic process (GO:0010604)	3345	4	2.28	+	1.75	2.68E-01	1.00E00
homeostatic process (GO:0042592)	1679	2	1.15	+	1.75	3.20E-01	1.00E00
regulation of protein metabolic process (GO:0051246)	2521	3	1.72	+	1.74	2.43E-01	1.00E00
cellular lipid metabolic process (GO:0044255)	857	1	.58	+	1.71	4.49E-01	1.00E00
regulation of cellular localization (GO:0060341)	861	1	.59	+	1.70	4.51E-01	1.00E00
multicellular organismal reproductive process (GO:0048609)	861	1	.59	+	1.70	4.51E-01	1.00E00
anatomical structure development (GO:0048856)	5182	6	3.54	+	1.70	1.36E-01	1.00E00
cellular component organization (GO:0016043)	5199	6	3.55	+	1.69	1.38E-01	1.00E00
macromolecule catabolic process (GO:0009057)	872	1	.59	+	1.68	4.55E-01	1.00E00
response to chemical (GO:0042221)	3492	4	2.38	+	1.68	2.80E-01	1.00E00
negative regulation of biological process (GO:0048519)	5252	6	3.58	+	1.67	2.20E-01	1.00E00
multicellular organism reproduction (GO:0032504)	878	1	.60	+	1.67	4.58E-01	1.00E00
catabolic process (GO:0009056)	1759	2	1.20	+	1.67	3.40E-01	1.00E00
regulation of transferase activity (GO:0051338)	881	1	.60	+	1.66	4.59E-01	1.00E00
neuron development (GO:0048666)	884	1	.60	+	1.66	4.60E-01	1.00E00
positive regulation of phosphorylation (GO:0042327)	886	1	.60	+	1.65	4.61E-01	1.00E00
cell migration (GO:0016477)	891	1	.61	+	1.65	4.63E-01	1.00E00
sexual reproduction (GO:0019953)	895	1	.61	+	1.64	4.64E-01	1.00E00
cellular component organization or biogenesis (GO:0071840)	5392	6	3.68	+	1.63	2.24E-01	1.00E00
organic substance transport (GO:0071702)	1807	2	1.23	+	1.62	3.53E-01	1.00E00
positive regulation of metabolic process (GO:0009893)	3659	4	2.50	+	1.60	2.96E-01	1.00E00
negative regulation of gene expression (GO:0010629)	919	1	.63	+	1.60	4.73E-01	1.00E00
regulation of metabolic process (GO:0019222)	6451	7	4.40	+	1.59	1.59E-01	1.00E00
regulation of primary metabolic process (GO:0080090)	5568	6	3.80	+	1.58	2.32E-01	1.00E00
circulatory system development (GO:0072359)	928	1	.63	+	1.58	4.77E-01	1.00E00
positive regulation of cell differentiation (GO:0045597)	938	1	.64	+	1.56	4.80E-01	1.00E00
response to abiotic stimulus (GO:0009628)	944	1	.64	+	1.55	4.82E-01	1.00E00
chromosome organization (GO:0051276)	949	1	.65	+	1.54	4.84E-01	1.00E00
anatomical structure formation involved in morphogenesis (GO:0048646)	951	1	.65	+	1.54	4.85E-01	1.00E00
tube development (GO:0035295)	958	1	.65	+	1.53	4.88E-01	1.00E00
multicellular organism development (GO:0007275)	4801	5	3.28	+	1.53	3.44E-01	1.00E00
positive regulation of phosphorus metabolic process (GO:0010562)	961	1	.66	+	1.53	4.89E-01	1.00E00
positive regulation of phosphate metabolic process (GO:0045937)	961	1	.66	+	1.53	4.89E-01	1.00E00
regulation of biological quality (GO:0065008)	3879	4	2.65	+	1.51	3.20E-01	1.00E00
regulation of macromolecule metabolic process (GO:0060255)	5978	6	4.08	+	1.47	2.57E-01	1.00E00
negative regulation of molecular function (GO:0044092)	1011	1	.69	+	1.45	5.07E-01	1.00E00
multi-organism reproductive process (GO:0044703)	1023	1	.70	+	1.43	5.11E-01	1.00E00
protein-containing complex assembly (GO:0065003)	1033	1	.70	+	1.42	5.14E-01	1.00E00
developmental process involved in reproduction (GO:0003006)	1036	1	.71	+	1.41	5.15E-01	1.00E00
localization of cell (GO:0051674)	1037	1	.71	+	1.41	5.16E-01	1.00E00
cell motility (GO:0048870)	1037	1	.71	+	1.41	5.16E-01	1.00E00
multi-organism process (GO:0051704)	1040	1	.71	+	1.41	5.17E-01	1.00E00
multicellular organismal process (GO:0032501)	7328	7	5.00	+	1.40	2.82E-01	1.00E00
epithelium development (GO:0060429)	1050	1	.72	+	1.40	5.20E-01	1.00E00
regulation of transcription, DNA-templated (GO:0006355)	3193	3	2.18	+	1.38	4.70E-01	1.00E00
regulation of nucleic acid-templated transcription (GO:1903506)	3197	3	2.18	+	1.38	4.70E-01	1.00E00
regulation of RNA biosynthetic process (GO:2001141)	3200	3	2.18	+	1.37	4.71E-01	1.00E00
organelle organization (GO:0006996)	3215	3	2.19	+	1.37	4.73E-01	1.00E00
ion transport (GO:0006811)	1073	1	.73	+	1.37	5.28E-01	1.00E00
regulation of nitrogen compound metabolic process (GO:0051171)	5387	5	3.67	+	1.36	3.84E-01	1.00E00
regulation of cell communication (GO:0010646)	3243	3	2.21	+	1.36	4.76E-01	1.00E00
regulation of signaling (GO:0023051)	3255	3	2.22	+	1.35	4.78E-01	1.00E00
neuron differentiation (GO:0030182)	1086	1	.74	+	1.35	5.32E-01	1.00E00
positive regulation of catalytic activity (GO:0043085)	1090	1	.74	+	1.34	5.34E-01	1.00E00
lipid metabolic process (GO:0006629)	1108	1	.76	+	1.32	5.40E-01	1.00E00
cytoskeleton organization (GO:0007010)	1110	1	.76	+	1.32	5.40E-01	1.00E00
plasma membrane bounded cell projection organization (GO:0120036)	1116	1	.76	+	1.31	5.42E-01	1.00E00
proteolysis (GO:0006508)	1121	1	.76	+	1.31	5.44E-01	1.00E00
regulation of gene expression (GO:0010468)	4579	4	3.12	+	1.28	5.32E-01	1.00E00
chemical homeostasis (GO:0048878)	1146	1	.78	+	1.28	5.52E-01	1.00E00
heterocycle metabolic process (GO:0046483)	2296	2	1.57	+	1.28	6.66E-01	1.00E00
regulation of cellular metabolic process (GO:0031323)	5748	5	3.92	+	1.28	5.58E-01	1.00E00
cellular process (GO:0009987)	15109	13	10.31	+	1.26	1.69E-01	1.00E00
regulation of RNA metabolic process (GO:0051252)	3487	3	2.38	+	1.26	7.20E-01	1.00E00
protein-containing complex subunit organization (GO:0043933)	1171	1	.80	+	1.25	5.60E-01	1.00E00
regulation of protein phosphorylation (GO:0001932)	1173	1	.80	+	1.25	5.61E-01	1.00E00
cell projection organization (GO:0030030)	1173	1	.80	+	1.25	5.61E-01	1.00E00
positive regulation of gene expression (GO:0010628)	1184	1	.81	+	1.24	5.64E-01	1.00E00
cellular aromatic compound metabolic process (GO:0006725)	2378	2	1.62	+	1.23	6.73E-01	1.00E00
regulation of organelle organization (GO:0033043)	1198	1	.82	+	1.22	5.69E-01	1.00E00
positive regulation of transcription by RNA polymerase II (GO:0045944)	1209	1	.82	+	1.21	5.72E-01	1.00E00
response to stimulus (GO:0050896)	8503	7	5.80	+	1.21	5.99E-01	1.00E00
macromolecule modification (GO:0043412)	2434	2	1.66	+	1.20	6.79E-01	1.00E00
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3660	3	2.50	+	1.20	7.27E-01	1.00E00
positive regulation of cellular component organization (GO:0051130)	1222	1	.83	+	1.20	5.76E-01	1.00E00
regulation of macromolecule biosynthetic process (GO:0010556)	3695	3	2.52	+	1.19	7.29E-01	1.00E00
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3730	3	2.54	+	1.18	7.30E-01	1.00E00
locomotion (GO:0040011)	1247	1	.85	+	1.18	5.84E-01	1.00E00
biological regulation (GO:0065007)	12583	10	8.58	+	1.16	6.04E-01	1.00E00
regulation of cellular process (GO:0050794)	11466	9	7.82	+	1.15	6.12E-01	1.00E00
regulation of cellular biosynthetic process (GO:0031326)	3863	3	2.64	+	1.14	7.37E-01	1.00E00
organic cyclic compound metabolic process (GO:1901360)	2598	2	1.77	+	1.13	6.95E-01	1.00E00
signaling (GO:0023052)	5237	4	3.57	+	1.12	7.65E-01	1.00E00
regulation of phosphorylation (GO:0042325)	1310	1	.89	+	1.12	6.02E-01	1.00E00
regulation of biosynthetic process (GO:0009889)	3941	3	2.69	+	1.12	7.41E-01	1.00E00
vesicle-mediated transport (GO:0016192)	1314	1	.90	+	1.12	6.03E-01	1.00E00
Unclassified (UNCLASSIFIED)	1330	1	.91	+	1.10	6.08E-01	1.00E00
regulation of biological process (GO:0050789)	11980	9	8.17	+	1.10	7.98E-01	1.00E00
cell communication (GO:0007154)	5343	4	3.64	+	1.10	7.69E-01	1.00E00
generation of neurons (GO:0048699)	1371	1	.94	+	1.07	6.19E-01	1.00E00
system development (GO:0048731)	4186	3	2.86	+	1.05	1.00E00	1.00E00
cellular nitrogen compound metabolic process (GO:0034641)	2808	2	1.92	+	1.04	1.00E00	1.00E00
regulation of multicellular organismal process (GO:0051239)	2813	2	1.92	+	1.04	1.00E00	1.00E00
regulation of signal transduction (GO:0009966)	2824	2	1.93	+	1.04	1.00E00	1.00E00
positive regulation of cellular process (GO:0048522)	5730	4	3.91	+	1.02	1.00E00	1.00E00
nitrogen compound metabolic process (GO:0006807)	5748	4	3.92	+	1.02	1.00E00	1.00E00
organonitrogen compound metabolic process (GO:1901564)	4314	3	2.94	+	1.02	1.00E00	1.00E00
cellular response to stress (GO:0033554)	1445	1	.99	+	1.01	1.00E00	1.00E00
regulation of phosphate metabolic process (GO:0019220)	1454	1	.99	+	1.01	1.00E00	1.00E00
regulation of multicellular organismal development (GO:2000026)	1454	1	.99	+	1.01	1.00E00	1.00E00
regulation of phosphorus metabolic process (GO:0051174)	1455	1	.99	+	1.01	1.00E00	1.00E00
biological_process (GO:0008150)	20658	14	14.09	-	.99	6.08E-01	1.00E00
reproductive process (GO:0022414)	1480	1	1.01	-	.99	1.00E00	1.00E00
